Output,Start-time,End-time,Study-type|Prime-type|Calibration-type,Initials,Notes
Subject_300.csv-Subject_300.mat,2017\3\8\8:02 PM,2017\3\8\8:26 PM,1|2|2,KWP,Practice
Subject_1.csv-Subject_1.mat,2017\3\9\1:10 PM,2017\3\9\1:38 PM,1|2|2,KWP,Nothing to report
Subject_2.csv-Subject_2.mat,2017\3\9\2:24 PM,2017\3\9\2:51 PM,1|2|2,KWP,Nothing to report
Subject_3.csv-Subject_3.mat,2017\3\9\3:05 PM,2017\3\9\3:32 PM,1|2|2,KWP,Nothing to report
Subject_4.csv-Subject_4.mat,2017\3\9\4:00 PM,2017\3\9\4:29 PM,1|2|2,KWP,Nothing to report
