Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
15,3.950411e+00, 0, 1, 0, 1, 0, 0, -1.500000e+00, 1.037300e-01, 4.037340e-01, 4.537430e-01
15,7.109666e-01, 2, 2, 1, 0, 0, 0, 1, 9.930790e-02, 3.993077e-01, 4.493231e-01
15,2.834405e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.964778e-02, 3.999757e-01, 4.499859e-01
15,2.806158e-01, 2, 2, 1, 0, 1, 0, 1, 9.982224e-02, 3.998320e-01, 4.498438e-01
15,3.584488e-01, 1, 1, 1, 0, 1, 0, 1, 9.992155e-02, 3.999171e-01, 4.499322e-01
15,3.689024e-01, 1, 1, 1, 0, 1, 0, 1, 9.987959e-02, 4.002105e-01, 4.502229e-01
15,3.469732e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.988684e-02, 3.998915e-01, 4.499096e-01
15,4.139029e-01, 2, 2, 1, 0, 0, 0, 1, 9.989287e-02, 3.999072e-01, 4.499214e-01
15,4.942204e-01, 1, 1, 1, 0, 0, 0, 1, 9.989861e-02, 4.002235e-01, 4.501948e-01
15,4.834559e-01, 1, 1, 1, 0, 0, 0, 1, 9.992185e-02, 3.999174e-01, 4.499289e-01
15,3.927009e-01, 2, 2, 1, 0, 0, 0, 1, 9.989801e-02, 4.002223e-01, 4.502377e-01
15,3.776764e-01, 2, 2, 1, 0, 1, 0, 1, 9.991370e-02, 3.999156e-01, 4.499328e-01
15,3.398064e-01, 1, 1, 1, 0, 1, 0, 1, 9.990253e-02, 3.999099e-01, 4.499253e-01
15,3.115382e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989740e-02, 4.002256e-01, 4.502395e-01
15,5.467698e-01, 2, 2, 1, 0, 0, 0, 1, 9.991099e-02, 3.999204e-01, 4.499250e-01
15,3.499654e-01, 2, 2, 1, 0, 0, 0, 1, 9.990223e-02, 3.999120e-01, 4.499304e-01
15,3.124295e-01, 2, 2, 1, 0, 0, 0, 1, 9.991189e-02, 4.002292e-01, 4.502458e-01
15,3.166439e-01, 1, 1, 1, 0, 1, 0, 1, 9.990767e-02, 3.999168e-01, 4.499352e-01
15,2.811766e-01, 2, 2, 1, 0, 1, 0, 1, 9.989831e-02, 3.999102e-01, 4.499229e-01
15,2.942837e-01, 1, 1, 1, 0, 1, 0, 1, 9.990314e-02, 4.002175e-01, 4.502350e-01
15,2.676753e-01, 1, 1, 1, 0, 1, 0, 1, 9.991068e-02, 3.999283e-01, 4.499358e-01
15,3.534581e-01, 1, 1, 1, 0, 0, 0, 1, 9.991400e-02, 3.999244e-01, 4.499407e-01
15,3.086860e-01, 2, 2, 1, 0, 1, 0, 1, 9.990284e-02, 3.999117e-01, 4.499262e-01
15,2.730189e-01, 1, 1, 1, 0, 1, 0, 1, 9.990314e-02, 4.002265e-01, 4.502413e-01
15,2.787455e-01, 1, 1, 1, 0, 1, 0, 1, 9.991129e-02, 3.999180e-01, 4.499340e-01
15,3.644978e-01, 1, 1, 1, 0, 0, 0, 1, 9.990827e-02, 3.999180e-01, 4.499328e-01
15,3.185045e-01, 1, 1, 1, 0, 1, 0, 1, 9.990857e-02, 4.002410e-01, 4.502555e-01
15,3.783800e-01, 2, 2, 1, 0, 0, 0, 1, 9.990616e-02, 3.999123e-01, 4.499153e-01
15,2.442611e-01, 2, 2, 1, 0, 1, 0, 1, 9.992849e-02, 3.999379e-01, 4.499413e-01
15,3.634598e-01, 1, 1, 1, 0, 0, 0, 1, 9.990193e-02, 3.999105e-01, 4.499259e-01
15,2.614645e-01, 2, 2, 1, 0, 1, 0, 1, 9.990314e-02, 4.002301e-01, 4.502467e-01
