Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
43,1.788759e+00, 2, 2, 1, 1, 0, 0, -1.500000e+00, 9.072968e-02, 3.906999e-01, 4.407076e-01
43,6.674417e-01, 1, 1, 1, 0, 0, 0, 1, 9.909509e-02, 3.990629e-01, 4.490736e-01
43,4.730494e-01, 1, 1, 1, 0, 0, 0, 1, 9.988593e-02, 3.998561e-01, 4.498617e-01
43,3.587098e-01, 1, 1, 1, 0, 1, 0, 1, 9.992789e-02, 3.998990e-01, 4.499076e-01
43,2.802028e-01, 2, 2, 1, 0, 1, 0, 1, 9.988231e-02, 3.998410e-01, 4.498518e-01
43,2.768384e-01, 1, 1, 1, 0, 1, 0, 1, 9.986571e-02, 3.998531e-01, 4.498530e-01
43,4.345327e-01, 2, 2, 1, 0, 1, 0, 1, 9.991974e-02, 3.998739e-01, 4.499037e-01
43,2.252342e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.989589e-02, 3.998667e-01, 4.498859e-01
43,2.482631e-01, 1, 1, 1, 0, 1, 0, 1, 9.985062e-02, 3.998157e-01, 4.498162e-01
43,2.622248e-01, 2, 2, 1, 0, 0, 0, 1, 9.988835e-02, 3.998613e-01, 4.498651e-01
43,2.678050e-01, 1, 1, 1, 0, 0, 0, 1, 9.989378e-02, 3.998670e-01, 4.498693e-01
43,2.488840e-01, 2, 2, 1, 0, 0, 0, 1, 9.988684e-02, 3.998709e-01, 4.498539e-01
43,2.069788e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.985816e-02, 3.998299e-01, 4.498370e-01
43,2.873047e-01, 1, 1, 1, 0, 0, 0, 1, 9.987114e-02, 3.998444e-01, 4.498527e-01
43,2.677250e-01, 1, 1, 1, 0, 0, 0, 1, 9.987778e-02, 3.998480e-01, 4.498506e-01
43,2.732525e-01, 1, 1, 1, 0, 1, 0, 1, 9.988774e-02, 3.998694e-01, 4.498850e-01
43,2.307239e-01, 2, 2, 1, 0, 1, 0, 1, 9.988986e-02, 3.998694e-01, 4.498578e-01
43,2.133617e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.984488e-02, 3.998661e-01, 4.498602e-01
43,2.126372e-01, 1, 1, 1, 0, 1, 0, 1, 9.989137e-02, 3.998655e-01, 4.498738e-01
43,4.120970e-01, 1, 1, 1, 0, 0, 0, 1, 9.989801e-02, 3.999144e-01, 4.498285e-01
