Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
6,6.879607e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.973320e-02, 3.996500e-01, 4.496575e-01
6,7.069267e-01, 2, 2, 1, 0, 0, 0, 1, 9.902717e-02, 3.989234e-01, 4.489618e-01
6,4.074796e-01, 2, 2, 1, 0, 0, 0, 1, 9.987688e-02, 3.997822e-01, 4.497789e-01
6,4.071084e-01, 2, 2, 1, 0, 0, 0, 1, 9.989136e-02, 3.997743e-01, 4.497879e-01
6,4.393950e-01, 1, 1, 1, 0, 0, 0, 1, 9.995445e-02, 3.998534e-01, 4.499576e-01
6,3.579481e-01, 1, 1, 1, 0, 1, 0, 1, 9.990465e-02, 3.998063e-01, 4.497991e-01
6,4.079098e-01, 1, 1, 1, 0, 0, 0, 1, 9.983884e-02, 3.997653e-01, 4.497891e-01
6,4.318986e-01, 1, 1, 1, 0, 0, 0, 1, 9.989136e-02, 3.998045e-01, 4.498103e-01
6,4.309417e-01, 2, 2, 1, 0, 0, 0, 1, 9.980232e-02, 3.997571e-01, 4.497659e-01
6,2.935698e-01, 2, 2, 1, 0, 1, 0, 1, 9.999188e-02, 3.999005e-01, 4.498866e-01
6,2.984589e-01, 1, 1, 1, 0, 1, 0, 1, 9.986510e-02, 3.997955e-01, 4.498272e-01
6,2.862596e-01, 2, 2, 1, 0, 1, 0, 1, 9.991853e-02, 3.998287e-01, 4.498281e-01
6,3.310648e-01, 1, 1, 1, 0, 0, 0, 1, 9.981832e-02, 3.997656e-01, 4.498060e-01
6,3.418891e-01, 1, 1, 1, 0, 1, 0, 1, 9.980504e-02, 3.997698e-01, 4.497783e-01
6,3.203402e-01, 2, 2, 1, 0, 1, 0, 1, 9.984186e-02, 3.997680e-01, 4.498039e-01
6,3.317129e-01, 2, 2, 1, 0, 1, 0, 1, 9.983613e-02, 3.997695e-01, 4.497765e-01
6,3.903687e-01, 1, 1, 1, 0, 0, 0, 1, 9.993996e-02, 3.998948e-01, 4.498779e-01
6,3.111250e-01, 2, 2, 1, 0, 1, 0, 1, 9.982405e-02, 3.997734e-01, 4.498139e-01
6,3.548879e-01, 2, 2, 1, 0, 1, 0, 1, 9.993393e-02, 3.998438e-01, 4.498187e-01
6,2.845023e-01, 1, 1, 1, 0, 1, 0, 1, 9.989016e-02, 3.998329e-01, 4.498782e-01
6,2.976611e-01, 2, 2, 1, 0, 1, 0, 1, 9.984790e-02, 3.997876e-01, 4.498097e-01
6,3.496294e-01, 2, 2, 1, 0, 0, 0, 1, 9.990012e-02, 3.998115e-01, 4.498386e-01
6,3.038459e-01, 2, 2, 1, 0, 1, 0, 1, 9.987325e-02, 3.997728e-01, 4.497804e-01
6,3.154738e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.982164e-02, 3.997330e-01, 4.497387e-01
6,3.352814e-01, 1, 1, 1, 0, 0, 0, 1, 9.987205e-02, 3.997272e-01, 4.497716e-01
6,3.296591e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.987295e-02, 3.997819e-01, 4.498030e-01
6,3.485289e-01, 1, 1, 1, 0, 1, 0, 1, 9.984579e-02, 3.997689e-01, 4.498100e-01
6,3.105252e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.985816e-02, 3.997659e-01, 4.498109e-01
6,4.504004e-01, 1, 1, 1, 0, 1, 0, 1, 9.986480e-02, 3.998100e-01, 4.498420e-01
6,2.728373e-01, 1, 1, 1, 0, 0, 0, 1, 9.975674e-02, 3.997505e-01, 4.497907e-01
6,3.018106e-01, 2, 2, 1, 0, 1, 0, 1, 9.983069e-02, 3.997532e-01, 4.497774e-01
6,2.661357e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.985635e-02, 3.997807e-01, 4.498097e-01
6,3.193519e-01, 1, 1, 1, 0, 0, 0, 1, 9.983764e-02, 3.997490e-01, 4.497345e-01
6,3.388703e-01, 2, 2, 1, 0, 1, 0, 1, 9.989136e-02, 3.998202e-01, 4.498393e-01
6,2.774888e-01, 1, 1, 1, 0, 0, 0, 1, 9.984126e-02, 3.997605e-01, 4.497070e-01
6,3.070045e-01, 2, 2, 1, 0, 1, 0, 1, 9.983130e-02, 3.997423e-01, 4.497873e-01
6,3.113064e-01, 2, 2, 1, 0, 1, 0, 1, 9.989710e-02, 3.998247e-01, 4.498266e-01
6,3.464775e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.982435e-02, 3.997547e-01, 4.497436e-01
6,3.406238e-01, 1, 1, 1, 0, 1, 0, 1, 9.986269e-02, 3.998269e-01, 4.498088e-01
6,4.553459e-01, 2, 2, 1, 0, 0, 0, 1, 9.987356e-02, 3.997632e-01, 4.497780e-01
6,2.850930e-01, 1, 1, 1, 0, 1, 0, 1, 9.983613e-02, 3.997583e-01, 4.497384e-01
6,3.056585e-01, 1, 1, 1, 0, 1, 0, 1, 9.990434e-02, 3.998676e-01, 4.498963e-01
6,3.259398e-01, 1, 1, 1, 0, 1, 0, 1, 9.984428e-02, 3.997577e-01, 4.497584e-01
6,2.412223e-01, 2, 2, 1, 0, 1, 0, 1, 9.988774e-02, 3.997755e-01, 4.497750e-01
6,2.881734e-01, 1, 1, 1, 0, 1, 0, 1, 9.986058e-02, 3.997686e-01, 4.498112e-01
6,3.086514e-01, 2, 2, 1, 0, 1, 0, 1, 9.984518e-02, 3.997529e-01, 4.497623e-01
6,2.408891e-01, 1, 1, 1, 0, 1, 0, 1, 9.991974e-02, 3.998459e-01, 4.498818e-01
6,3.273654e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.985243e-02, 3.997761e-01, 4.498021e-01
6,3.707932e-01, 2, 2, 1, 0, 0, 0, 1, 9.989680e-02, 3.997535e-01, 4.498139e-01
6,2.760934e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989801e-02, 3.997994e-01, 4.498245e-01
6,4.175209e-01, 2, 2, 1, 0, 0, 0, 1, 9.983220e-02, 3.997704e-01, 4.498217e-01
6,2.969575e-01, 2, 2, 1, 0, 1, 0, 1, 9.992034e-02, 3.998534e-01, 4.498057e-01
6,2.371036e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.982556e-02, 3.997982e-01, 4.498124e-01
6,3.078910e-01, 1, 1, 1, 0, 1, 0, 1, 9.982254e-02, 3.997943e-01, 4.497737e-01
6,2.959955e-01, 1, 1, 1, 0, 1, 0, 1, 9.985122e-02, 3.997505e-01, 4.497997e-01
6,3.078998e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.982979e-02, 3.997683e-01, 4.497653e-01
6,3.442644e-01, 1, 1, 1, 0, 0, 0, 1, 9.986661e-02, 3.997921e-01, 4.498266e-01
6,3.701056e-01, 2, 2, 1, 0, 0, 0, 1, 9.986359e-02, 3.997774e-01, 4.497381e-01
6,3.872687e-01, 2, 2, 1, 0, 0, 0, 1, 9.989589e-02, 3.998555e-01, 4.498444e-01
6,2.922323e-01, 1, 1, 1, 0, 1, 0, 1, 9.990978e-02, 3.998513e-01, 4.498438e-01
6,3.436999e-01, 2, 2, 1, 0, 1, 1, 1, 1.017009e-01, 4.016035e-01, 4.516416e-01
6,2.745778e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.984307e-02, 3.997656e-01, 4.497442e-01
6,3.599768e-01, 1, 1, 1, 0, 0, 1, 1, 9.988593e-02, 3.998048e-01, 4.498036e-01
6,3.542375e-01, 2, 2, 1, 0, 0, 1, 1, 9.981500e-02, 3.997749e-01, 4.497813e-01
6,3.560724e-01, 2, 2, 1, 0, 0, 1, 1, 9.983733e-02, 3.997463e-01, 4.497982e-01
6,3.180500e-01, 2, 2, 1, 0, 0, 1, 1, 9.986510e-02, 3.997535e-01, 4.497765e-01
6,3.615781e-01, 1, 1, 1, 0, 0, 1, 1, 9.983462e-02, 3.997439e-01, 4.497855e-01
6,3.309142e-01, 2, 2, 1, 0, 1, 1, 1, 9.984428e-02, 3.998121e-01, 4.498546e-01
6,3.734885e-01, 2, 2, 1, 0, 0, 1, 1, 9.989589e-02, 3.998003e-01, 4.498438e-01
6,3.667678e-01, 1, 1, 1, 0, 0, 1, 1, 9.980836e-02, 3.997976e-01, 4.498341e-01
6,3.923063e-01, 1, 1, 1, 1, 0, 1, -1.500000e+00, 9.989136e-02, 3.998045e-01, 4.498302e-01
6,3.449297e-01, 2, 2, 1, 0, 1, 1, 1, 9.982134e-02, 3.997439e-01, 4.497571e-01
6,2.830072e-01, 1, 1, 1, 0, 1, 1, 1, 9.989861e-02, 3.998003e-01, 4.498181e-01
6,3.039670e-01, 1, 1, 1, 0, 1, 1, 1, 9.986329e-02, 3.997888e-01, 4.497952e-01
6,3.237109e-01, 2, 2, 1, 0, 1, 1, 1, 9.989529e-02, 3.997704e-01, 4.498163e-01
6,2.955466e-01, 1, 1, 1, 0, 1, 1, 1, 9.986752e-02, 3.997777e-01, 4.498148e-01
6,2.913102e-01, 1, 1, 1, 0, 1, 1, 1, 9.987386e-02, 3.997970e-01, 4.497997e-01
6,2.960468e-01, 2, 2, 1, 0, 1, 1, 1, 9.984488e-02, 3.997592e-01, 4.497891e-01
6,2.920575e-01, 1, 1, 1, 0, 1, 1, 1, 9.983764e-02, 3.997789e-01, 4.497985e-01
6,3.130285e-01, 2, 2, 1, 0, 1, 1, 1, 9.982315e-02, 3.997985e-01, 4.498694e-01
6,3.000460e-01, 1, 1, 1, 0, 0, 1, 1, 9.985182e-02, 3.997617e-01, 4.498139e-01
6,2.882524e-01, 2, 2, 1, 0, 1, 1, 1, 9.985424e-02, 3.997837e-01, 4.498172e-01
6,3.251845e-01, 2, 2, 1, 0, 0, 1, 1, 9.987295e-02, 3.998181e-01, 4.498598e-01
6,3.043141e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.982828e-02, 3.998160e-01, 4.498269e-01
6,2.762899e-01, 1, 1, 1, 0, 1, 1, 1, 9.982224e-02, 3.997185e-01, 4.497771e-01
6,2.499322e-01, 1, 1, 1, 0, 1, 1, 1, 9.985997e-02, 3.998166e-01, 4.498326e-01
6,2.796857e-01, 1, 1, 1, 0, 0, 1, 1, 9.981560e-02, 3.997873e-01, 4.498251e-01
6,2.768921e-01, 1, 1, 1, 0, 0, 1, 1, 9.988986e-02, 3.997940e-01, 4.498329e-01
6,3.461887e-01, 2, 2, 1, 0, 1, 1, 1, 9.987174e-02, 3.997870e-01, 4.498088e-01
6,2.363058e-01, 1, 1, 1, 0, 1, 1, 1, 9.988231e-02, 3.997810e-01, 4.497864e-01
6,2.665987e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.985243e-02, 3.997765e-01, 4.497943e-01
6,2.805526e-01, 2, 2, 1, 0, 1, 1, 1, 9.986691e-02, 3.997882e-01, 4.498308e-01
6,2.369225e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.980021e-02, 3.997665e-01, 4.497206e-01
6,2.917708e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.989951e-02, 3.998181e-01, 4.498402e-01
6,2.403252e-01, 1, 1, 1, 0, 1, 1, 1, 9.986661e-02, 3.998069e-01, 4.498341e-01
6,2.872657e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.984820e-02, 3.997499e-01, 4.498115e-01
6,2.994622e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.981530e-02, 3.997867e-01, 4.498127e-01
6,3.039048e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.983673e-02, 3.997333e-01, 4.497493e-01
6,3.239062e-01, 1, 1, 1, 0, 0, 1, 1, 9.982073e-02, 3.997810e-01, 4.497381e-01
6,2.390852e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.985514e-02, 3.997620e-01, 4.498157e-01
6,4.297977e-01, 1, 1, 1, 1, 0, 1, -1.500000e+00, 9.987567e-02, 3.997976e-01, 4.498181e-01
6,2.764918e-01, 2, 2, 1, 0, 1, 1, 1, 9.986027e-02, 3.997813e-01, 4.497925e-01
6,3.138045e-01, 1, 1, 1, 0, 1, 1, 1, 9.995807e-02, 3.998598e-01, 4.498574e-01
6,2.775314e-01, 2, 2, 1, 0, 1, 1, 1, 9.979628e-02, 3.997541e-01, 4.497532e-01
6,2.506472e-01, 2, 2, 1, 0, 1, 1, 1, 9.986873e-02, 3.997861e-01, 4.498178e-01
6,2.727091e-01, 2, 2, 1, 0, 1, 1, 1, 9.985846e-02, 3.997614e-01, 4.498067e-01
6,2.700670e-01, 2, 2, 1, 0, 1, 1, 1, 9.980956e-02, 3.997819e-01, 4.498743e-01
6,2.835210e-01, 1, 1, 1, 0, 1, 1, 1, 9.988201e-02, 3.997858e-01, 4.497882e-01
6,3.841537e-01, 2, 2, 1, 0, 0, 1, 1, 9.986269e-02, 3.998084e-01, 4.497937e-01
6,3.928813e-01, 1, 1, 1, 1, 0, 1, -1.500000e+00, 9.986480e-02, 3.998260e-01, 4.498121e-01
6,2.735376e-01, 1, 1, 1, 0, 1, 1, 1, 9.986118e-02, 3.997931e-01, 4.498088e-01
6,2.630218e-01, 2, 2, 1, 0, 1, 1, 1, 9.996652e-02, 3.998278e-01, 4.497934e-01
6,2.683893e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.988623e-02, 3.997653e-01, 4.498063e-01
6,2.738558e-01, 1, 1, 1, 0, 1, 1, 1, 9.984760e-02, 3.997828e-01, 4.498160e-01
6,2.872965e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.986963e-02, 3.997662e-01, 4.497695e-01
6,3.078189e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.986993e-02, 3.997831e-01, 4.497523e-01
6,2.802836e-01, 1, 1, 1, 0, 1, 1, 1, 9.983582e-02, 3.997538e-01, 4.498323e-01
6,2.765546e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.986661e-02, 3.997861e-01, 4.498172e-01
6,3.303929e-01, 2, 2, 1, 0, 1, 1, 1, 9.991551e-02, 3.997931e-01, 4.498233e-01
6,2.530826e-01, 1, 1, 1, 0, 1, 1, 1, 9.987839e-02, 3.997605e-01, 4.498175e-01
6,3.069040e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.984669e-02, 3.997680e-01, 4.497946e-01
6,2.789305e-01, 1, 1, 1, 0, 1, 1, 1, 9.985575e-02, 3.997629e-01, 4.497759e-01
6,2.838820e-01, 1, 1, 1, 0, 1, 1, 1, 9.985967e-02, 3.997940e-01, 4.498088e-01
6,3.205572e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.985544e-02, 3.997882e-01, 4.497719e-01
6,6.677220e-01, 2, 2, 1, 1, 1, 1, -1.500000e+00, 9.983673e-02, 3.997623e-01, 4.497888e-01
6,4.330519e-01, 2, 2, 1, 1, 0, 1, -1.500000e+00, 9.990465e-02, 3.997888e-01, 4.498323e-01
6,2.879397e-01, 1, 1, 1, 0, 0, 1, 1, 9.980564e-02, 3.997719e-01, 4.498148e-01
6,2.846363e-01, 1, 1, 1, 0, 1, 1, 1, 9.986118e-02, 3.998018e-01, 4.497680e-01
6,2.893288e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.986178e-02, 3.997722e-01, 4.497750e-01
6,2.699800e-01, 1, 1, 1, 0, 1, 1, 1, 9.986178e-02, 3.997843e-01, 4.498181e-01
6,3.472276e-01, 1, 1, 1, 0, 0, 1, 1, 9.983250e-02, 3.997879e-01, 4.497864e-01
6,2.936634e-01, 1, 1, 1, 0, 1, 1, 1, 9.983733e-02, 3.997514e-01, 4.497590e-01
6,3.462780e-01, 2, 2, 1, 0, 0, 1, 1, 9.986239e-02, 3.997891e-01, 4.498199e-01
6,3.163618e-01, 2, 2, 1, 0, 1, 1, 1, 9.982103e-02, 3.997638e-01, 4.498121e-01
6,2.474633e-01, 1, 2, 0, 0, 1, 1, -1.500000e+00, 9.988020e-02, 3.997976e-01, 4.498429e-01
6,2.779579e-01, 2, 2, 1, 0, 1, 1, 1, 9.981983e-02, 3.997798e-01, 4.497843e-01
6,3.304518e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.980745e-02, 3.997339e-01, 4.497602e-01
6,2.529549e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.987839e-02, 3.997689e-01, 4.498269e-01
6,3.873690e-01, 1, 1, 1, 1, 0, 1, -1.500000e+00, 9.986692e-02, 3.997242e-01, 4.497728e-01
6,2.843064e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.986148e-02, 3.997973e-01, 4.498082e-01
6,3.086852e-01, 2, 2, 1, 0, 1, 2, 1, 1.008597e-01, 4.007330e-01, 4.507991e-01
6,2.562495e-01, 1, 1, 1, 0, 1, 2, 1, 9.985786e-02, 3.997786e-01, 4.497982e-01
6,2.467286e-01, 1, 1, 1, 0, 1, 2, 1, 9.988412e-02, 3.998413e-01, 4.498272e-01
