Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
32,2.716795e+00, 1, 1, 1, 1, 1, 0, -1.500000e+00, 8.923581e-02, 3.891873e-01, 4.392220e-01
32,4.071835e-01, 1, 1, 1, 0, 1, 0, 1, 9.900997e-02, 3.989678e-01, 4.489787e-01
32,5.751170e-01, 2, 2, 1, 0, 0, 0, 1, 9.983884e-02, 3.997574e-01, 4.497765e-01
32,5.527256e-01, 1, 1, 1, 0, 0, 0, 1, 9.991642e-02, 3.998368e-01, 4.498601e-01
32,8.510848e-01, 1, 1, 1, 1, 1, 0, -1.500000e+00, 9.988020e-02, 3.998208e-01, 4.498528e-01
32,4.729424e-01, 1, 1, 1, 0, 1, 0, 1, 9.987808e-02, 3.998628e-01, 4.498501e-01
32,4.541493e-01, 2, 2, 1, 0, 1, 0, 1, 9.984156e-02, 3.997798e-01, 4.497831e-01
32,6.607053e-01, 2, 2, 1, 0, 0, 0, 1, 9.990766e-02, 3.998314e-01, 4.498562e-01
32,4.416489e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.984277e-02, 3.997758e-01, 4.497683e-01
32,7.764908e-01, 1, 1, 1, 0, 1, 0, 1, 9.989408e-02, 3.998495e-01, 4.498782e-01
32,6.499797e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.988020e-02, 3.998012e-01, 4.498405e-01
32,4.878209e-01, 1, 1, 1, 0, 1, 0, 1, 9.983522e-02, 3.997828e-01, 4.497819e-01
32,4.764019e-01, 2, 2, 1, 0, 0, 0, 1, 9.984850e-02, 3.997906e-01, 4.498175e-01
32,5.860176e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.985544e-02, 3.998338e-01, 4.498272e-01
32,4.666601e-01, 1, 1, 1, 0, 0, 0, 1, 9.985273e-02, 3.997725e-01, 4.497949e-01
32,6.240539e-01, 1, 1, 1, 0, 0, 0, 1, 9.984548e-02, 3.997565e-01, 4.497894e-01
32,4.632483e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.982526e-02, 3.997490e-01, 4.497789e-01
32,7.970657e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.988442e-02, 3.998205e-01, 4.498347e-01
32,7.487113e-01, 2, 2, 1, 0, 0, 0, 1, 9.978662e-02, 3.997508e-01, 4.497650e-01
32,6.788086e-01, 1, 1, 1, 0, 1, 0, 1, 9.982677e-02, 3.997924e-01, 4.497768e-01
32,7.160109e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.990676e-02, 3.998389e-01, 4.498697e-01
32,6.391499e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.984458e-02, 3.998157e-01, 4.497665e-01
32,6.135438e-01, 2, 2, 1, 0, 1, 0, 1, 9.986209e-02, 3.997858e-01, 4.498094e-01
32,5.009461e-01, 2, 2, 1, 0, 1, 0, 1, 9.984156e-02, 3.997429e-01, 4.497855e-01
32,3.855709e-01, 2, 2, 1, 0, 1, 0, 1, 9.981047e-02, 3.997867e-01, 4.498094e-01
32,5.139253e-01, 1, 1, 1, 0, 0, 0, 1, 9.986269e-02, 3.997801e-01, 4.498429e-01
32,6.694875e-01, 1, 1, 1, 0, 1, 0, 1, 9.983764e-02, 3.997592e-01, 4.497897e-01
32,6.265212e-01, 2, 2, 1, 0, 0, 0, 1, 9.980866e-02, 3.997692e-01, 4.497647e-01
32,4.898423e-01, 1, 1, 1, 0, 1, 0, 1, 9.982767e-02, 3.997737e-01, 4.497701e-01
32,6.540075e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.988804e-02, 3.997786e-01, 4.498622e-01
32,3.244133e-01, 1, 1, 1, 0, 1, 0, 1, 9.978059e-02, 3.997517e-01, 4.497747e-01
32,4.236285e-01, 2, 2, 1, 0, 1, 0, 1, 9.989801e-02, 3.998112e-01, 4.498323e-01
32,4.149957e-01, 1, 1, 1, 0, 0, 0, 1, 9.985816e-02, 3.997792e-01, 4.497979e-01
32,4.783286e-01, 2, 2, 1, 0, 0, 0, 1, 9.985605e-02, 3.997514e-01, 4.497602e-01
32,3.233541e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.983643e-02, 3.997469e-01, 4.497837e-01
32,4.783184e-01, 1, 1, 1, 0, 1, 0, 1, 9.981319e-02, 3.997490e-01, 4.497834e-01
32,5.076605e-01, 2, 2, 1, 0, 0, 0, 1, 9.987597e-02, 3.998374e-01, 4.498380e-01
32,5.036872e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.984971e-02, 3.997698e-01, 4.498094e-01
32,4.273811e-01, 2, 2, 1, 0, 1, 0, 1, 9.978089e-02, 3.997786e-01, 4.498534e-01
32,5.546197e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.982858e-02, 3.997662e-01, 4.498160e-01
32,5.410452e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.977817e-02, 3.996886e-01, 4.497363e-01
32,5.835482e-01, 1, 1, 1, 0, 0, 0, 1, 9.991551e-02, 3.998329e-01, 4.498731e-01
32,3.685559e-01, 2, 2, 1, 0, 1, 0, 1, 9.985062e-02, 3.997780e-01, 4.498006e-01
32,3.776020e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.980051e-02, 3.997188e-01, 4.498009e-01
32,6.105102e-01, 1, 1, 1, 0, 1, 0, 1, 9.982526e-02, 3.997653e-01, 4.497816e-01
32,5.225742e-01, 2, 2, 1, 0, 1, 0, 1, 9.983975e-02, 3.997586e-01, 4.497828e-01
32,4.541240e-01, 2, 2, 1, 0, 1, 0, 1, 9.983703e-02, 3.997565e-01, 4.497910e-01
32,5.559650e-01, 1, 1, 1, 0, 0, 0, 1, 9.988684e-02, 3.997547e-01, 4.497771e-01
32,8.542928e-01, 2, 2, 1, 1, 0, 0, -1.500000e+00, 9.981802e-02, 3.997674e-01, 4.497617e-01
32,3.718980e-01, 1, 1, 1, 0, 0, 0, 1, 9.983613e-02, 3.997746e-01, 4.497967e-01
32,3.737849e-01, 1, 1, 1, 0, 0, 0, 1, 9.986903e-02, 3.997931e-01, 4.498196e-01
32,3.668481e-01, 2, 2, 1, 0, 0, 0, 1, 9.982466e-02, 3.997737e-01, 4.497904e-01
32,4.561068e-01, 2, 2, 1, 0, 1, 0, 1, 9.983975e-02, 3.997598e-01, 4.497825e-01
32,3.666857e-01, 2, 2, 1, 0, 0, 0, 1, 9.984397e-02, 3.997695e-01, 4.497894e-01
32,2.719985e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.982164e-02, 3.997614e-01, 4.497894e-01
32,5.251472e-01, 2, 2, 1, 0, 1, 0, 1, 9.984367e-02, 3.997526e-01, 4.497867e-01
32,1.824319e+00, 2, 2, 1, 1, 0, 0, -1.500000e+00, 9.983824e-02, 3.997656e-01, 4.497916e-01
32,5.041445e-01, 1, 1, 1, 0, 1, 0, 1, 9.984941e-02, 3.998057e-01, 4.497964e-01
32,2.998166e-01, 1, 1, 1, 0, 1, 0, 1, 9.985575e-02, 3.997961e-01, 4.498248e-01
32,5.682542e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.982164e-02, 3.997897e-01, 4.498199e-01
