Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
16,1.005176e+00, 1, 1, 1, 1, 0, 0, -1.500000e+00, 8.991023e-02, 3.899275e-01, 4.399244e-01
16,1.801739e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.903654e-02, 3.990080e-01, 4.489903e-01
16,3.083793e-01, 2, 2, 1, 0, 1, 0, 1, 9.984669e-02, 3.998347e-01, 4.498192e-01
16,2.974782e-01, 1, 1, 1, 0, 1, 0, 1, 9.989318e-02, 3.998604e-01, 4.498620e-01
16,2.363034e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989469e-02, 3.998576e-01, 4.498645e-01
16,4.832987e-01, 2, 2, 1, 0, 0, 0, 1, 9.987205e-02, 3.998450e-01, 4.498536e-01
16,3.116640e-01, 2, 2, 1, 0, 1, 0, 1, 9.989167e-02, 3.998634e-01, 4.498663e-01
16,2.990288e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.988352e-02, 3.998501e-01, 4.498605e-01
16,3.831565e-01, 1, 1, 1, 0, 0, 0, 1, 9.984579e-02, 3.998157e-01, 4.498602e-01
16,2.723169e-01, 1, 1, 1, 0, 1, 0, 1, 9.985514e-02, 3.998540e-01, 4.497890e-01
16,1.141222e+00, 1, 1, 1, 1, 0, 0, -1.500000e+00, 9.987718e-02, 3.998247e-01, 4.498210e-01
16,3.041731e-01, 1, 1, 1, 0, 1, 0, 1, 9.989106e-02, 3.998631e-01, 4.498663e-01
16,2.284502e-01, 1, 1, 1, 0, 1, 0, 1, 9.990404e-02, 3.998749e-01, 4.498786e-01
16,3.389038e-01, 2, 2, 1, 0, 1, 0, 1, 9.988955e-02, 3.998589e-01, 4.498642e-01
16,3.176735e-01, 2, 2, 1, 0, 1, 0, 1, 9.989831e-02, 3.998655e-01, 4.498705e-01
16,2.964311e-01, 2, 2, 1, 0, 1, 0, 1, 9.989710e-02, 3.998739e-01, 4.498789e-01
16,3.566131e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989620e-02, 3.998540e-01, 4.498623e-01
16,3.748702e-01, 2, 2, 1, 0, 0, 0, 1, 9.985816e-02, 3.998269e-01, 4.498376e-01
16,3.521334e-01, 1, 1, 1, 0, 0, 0, 1, 9.991491e-02, 3.998537e-01, 4.498409e-01
16,2.822706e-01, 1, 1, 1, 0, 1, 0, 1, 9.990253e-02, 3.998743e-01, 4.498768e-01
16,2.467195e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.989046e-02, 3.998534e-01, 4.498714e-01
16,2.368630e-01, 1, 1, 1, 0, 1, 0, 1, 9.987929e-02, 3.998676e-01, 4.498690e-01
16,4.032087e-01, 1, 1, 1, 0, 0, 0, 1, 9.985424e-02, 3.998241e-01, 4.498300e-01
16,2.596318e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989378e-02, 3.998649e-01, 4.498210e-01
