Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
13,1.780695e+00, 2, 2, 1, 1, 1, 0, -1.500000e+00, 9.785269e-02, 3.978440e-01, 4.478368e-01
13,5.644130e-01, 2, 2, 1, 0, 0, 0, 1, 9.946908e-02, 3.994462e-01, 4.494574e-01
13,4.453771e-01, 1, 1, 1, 0, 0, 0, 1, 9.985545e-02, 4.001227e-01, 4.501336e-01
13,2.843916e-01, 2, 2, 1, 0, 1, 0, 1, 9.987476e-02, 3.998549e-01, 4.499192e-01
13,1.782894e-01, 1, 1, 1, 0, 1, 0, 1, 9.990978e-02, 3.998839e-01, 4.499144e-01
13,1.400026e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.988261e-02, 3.998709e-01, 4.499032e-01
13,3.827152e-01, 2, 2, 1, 0, 1, 0, 1, 9.991159e-02, 4.002012e-01, 4.502401e-01
13,2.637266e-01, 1, 1, 1, 0, 1, 0, 1, 9.989680e-02, 3.998444e-01, 4.499171e-01
13,2.782644e-01, 1, 1, 1, 0, 1, 0, 1, 9.988986e-02, 3.998549e-01, 4.498643e-01
13,3.481757e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.991249e-02, 3.998362e-01, 4.499002e-01
13,3.267727e-01, 1, 1, 1, 0, 0, 0, 1, 9.985333e-02, 4.001568e-01, 4.501927e-01
13,2.983487e-01, 1, 1, 1, 0, 0, 0, 1, 9.990344e-02, 3.998794e-01, 4.498664e-01
13,2.075496e-01, 1, 1, 1, 0, 0, 0, 1, 9.992185e-02, 3.999102e-01, 4.499422e-01
13,2.559661e-01, 1, 1, 1, 0, 0, 0, 1, 9.986873e-02, 4.002033e-01, 4.502380e-01
13,2.063443e-01, 1, 1, 1, 0, 1, 0, 1, 9.991310e-02, 3.998836e-01, 4.499316e-01
13,2.868021e-01, 1, 1, 1, 0, 1, 0, 1, 9.990434e-02, 3.998752e-01, 4.499135e-01
13,2.124630e-01, 1, 1, 1, 0, 1, 0, 1, 9.989619e-02, 3.998869e-01, 4.499192e-01
13,3.482606e-01, 2, 2, 1, 0, 1, 0, 1, 9.989801e-02, 3.998616e-01, 4.498785e-01
13,3.669388e-01, 2, 2, 1, 0, 0, 0, 1, 9.993061e-02, 4.001891e-01, 4.502380e-01
13,4.250760e-01, 2, 2, 1, 0, 1, 0, 1, 9.994057e-02, 3.999087e-01, 4.499410e-01
13,4.334620e-01, 1, 1, 1, 0, 1, 0, 1, 9.988684e-02, 3.998576e-01, 4.498915e-01
13,3.206781e-01, 1, 1, 1, 0, 1, 0, 1, 1.002551e-01, 4.002250e-01, 4.502190e-01
13,4.044451e-01, 2, 2, 1, 0, 0, 0, 1, 9.988925e-02, 3.998809e-01, 4.499063e-01
13,3.248095e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.985846e-02, 4.001667e-01, 4.502063e-01
13,2.964371e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.991068e-02, 3.998785e-01, 4.499141e-01
13,2.778153e-01, 1, 1, 1, 0, 1, 0, 1, 9.990495e-02, 3.999183e-01, 4.499521e-01
13,3.877904e-01, 1, 1, 1, 0, 0, 0, 1, 9.987537e-02, 3.998006e-01, 4.498827e-01
13,5.084654e-01, 2, 2, 1, 0, 1, 0, 1, 9.989197e-02, 4.001984e-01, 4.502320e-01
13,1.928958e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.989650e-02, 3.998845e-01, 4.499204e-01
13,4.105774e-01, 2, 2, 1, 0, 0, 0, 1, 9.988382e-02, 3.998957e-01, 4.499277e-01
13,2.986874e-01, 1, 1, 1, 0, 1, 0, 1, 1.002137e-01, 4.002253e-01, 4.502555e-01
13,3.351175e-01, 2, 2, 1, 0, 1, 0, 1, 9.988352e-02, 3.998785e-01, 4.499123e-01
13,2.590313e-01, 2, 2, 1, 0, 1, 0, 1, 9.988322e-02, 3.998646e-01, 4.499153e-01
13,2.573811e-01, 2, 2, 1, 0, 1, 0, 1, 9.991400e-02, 4.001574e-01, 4.502407e-01
13,4.316672e-01, 1, 1, 1, 0, 0, 0, 1, 9.988140e-02, 3.998736e-01, 4.499120e-01
13,2.880080e-01, 2, 2, 1, 0, 1, 0, 1, 9.985877e-02, 3.998235e-01, 4.498393e-01
13,3.567310e-01, 2, 2, 1, 0, 0, 0, 1, 9.986963e-02, 4.001776e-01, 4.502126e-01
13,2.870110e-01, 2, 2, 1, 0, 1, 0, 1, 9.993453e-02, 3.999283e-01, 4.499482e-01
13,2.928439e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.987990e-02, 3.998857e-01, 4.499026e-01
13,2.981105e-01, 1, 1, 1, 0, 1, 0, 1, 9.991159e-02, 3.998833e-01, 4.499162e-01
13,3.181435e-01, 2, 2, 1, 0, 1, 0, 1, 9.989137e-02, 4.001975e-01, 4.502323e-01
13,2.825908e-01, 1, 1, 1, 0, 1, 0, 1, 9.993302e-02, 3.999069e-01, 4.498954e-01
13,3.441068e-01, 2, 2, 1, 0, 0, 0, 1, 9.984760e-02, 3.998305e-01, 4.498438e-01
13,3.710316e-01, 1, 1, 1, 0, 0, 0, 1, 9.990767e-02, 4.001945e-01, 4.502310e-01
13,4.126822e-01, 1, 1, 1, 0, 0, 0, 1, 9.990374e-02, 3.998963e-01, 4.499325e-01
13,3.656174e-01, 2, 2, 1, 0, 0, 0, 1, 9.989046e-02, 3.998694e-01, 4.499114e-01
13,4.793846e-01, 2, 2, 1, 0, 0, 0, 1, 9.986420e-02, 4.002075e-01, 4.502383e-01
13,2.771856e-01, 2, 2, 1, 0, 0, 0, 1, 9.989046e-02, 3.998341e-01, 4.499123e-01
13,2.591243e-01, 2, 2, 1, 0, 0, 0, 1, 9.989227e-02, 3.998643e-01, 4.498960e-01
13,2.972032e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.991099e-02, 4.001670e-01, 4.502344e-01
13,4.137990e-01, 2, 2, 1, 0, 0, 0, 1, 9.990102e-02, 3.998815e-01, 4.499177e-01
13,2.219371e-01, 1, 1, 1, 0, 1, 0, 1, 9.985756e-02, 3.999192e-01, 4.499051e-01
13,2.861758e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.985152e-02, 3.998598e-01, 4.498731e-01
