Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
27,1.528651e+00, 1, 1, 1, 1, 1, 0, -1.500000e+00, 1.001446e-01, 4.001487e-01, 4.501183e-01
27,2.265361e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.903024e-02, 3.990368e-01, 4.490172e-01
27,3.793161e-01, 1, 1, 1, 0, 1, 0, 1, 9.991222e-02, 3.999142e-01, 4.499278e-01
27,3.718425e-01, 1, 1, 1, 0, 1, 0, 1, 1.002292e-01, 4.002387e-01, 4.502505e-01
27,3.177950e-01, 1, 1, 1, 0, 1, 0, 1, 9.991886e-02, 3.999139e-01, 4.499278e-01
27,4.263397e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989985e-02, 3.999024e-01, 4.499149e-01
27,2.418256e-01, 1, 1, 1, 0, 1, 0, 1, 1.002295e-01, 4.002318e-01, 4.502457e-01
27,4.016815e-01, 2, 2, 1, 0, 1, 0, 1, 9.988506e-02, 3.998898e-01, 4.499034e-01
27,2.985915e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.991071e-02, 3.999151e-01, 4.499302e-01
27,3.670498e-01, 2, 2, 1, 0, 1, 0, 1, 9.989924e-02, 4.002209e-01, 4.502475e-01
27,4.166520e-01, 1, 1, 1, 0, 0, 0, 1, 9.991373e-02, 3.999477e-01, 4.499311e-01
27,4.014630e-01, 1, 1, 1, 0, 1, 0, 1, 9.991162e-02, 3.999133e-01, 4.499293e-01
27,3.216378e-01, 2, 2, 1, 0, 1, 0, 1, 1.002017e-01, 4.002007e-01, 4.502158e-01
27,4.935083e-01, 2, 2, 1, 0, 1, 0, 1, 9.991494e-02, 3.998801e-01, 4.499366e-01
27,4.189418e-01, 1, 1, 1, 0, 1, 0, 1, 9.989683e-02, 4.002052e-01, 4.502360e-01
27,4.348698e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.991645e-02, 3.999227e-01, 4.499369e-01
27,5.067133e-01, 2, 2, 1, 0, 1, 0, 1, 9.990800e-02, 3.999103e-01, 4.499230e-01
27,4.545883e-01, 1, 1, 1, 0, 1, 0, 1, 1.002216e-01, 4.002375e-01, 4.502430e-01
27,3.576830e-01, 2, 2, 1, 0, 1, 0, 1, 9.990679e-02, 3.999103e-01, 4.499281e-01
27,3.918798e-01, 2, 2, 1, 0, 1, 0, 1, 9.989743e-02, 4.002191e-01, 4.502288e-01
27,3.766400e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989592e-02, 3.999100e-01, 4.499390e-01
27,4.511237e-01, 1, 1, 1, 0, 0, 0, 1, 9.991434e-02, 3.999175e-01, 4.499287e-01
