Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
21,6.534419e-01, 1, 1, 1, 0, 1, 0, 1, 1.029539e-01, 4.029525e-01, 4.529715e-01
21,2.598608e-01, 1, 1, 1, 0, 1, 0, 1, 9.941716e-02, 3.994082e-01, 4.494037e-01
21,2.585275e-01, 2, 2, 1, 0, 1, 0, 1, 9.987386e-02, 3.998459e-01, 4.498770e-01
21,2.168549e-01, 2, 2, 1, 0, 1, 0, 1, 9.989529e-02, 4.002156e-01, 4.502247e-01
21,2.966466e-01, 1, 1, 1, 0, 0, 0, 1, 9.987869e-02, 3.998208e-01, 4.498848e-01
21,2.855833e-01, 1, 1, 1, 0, 0, 0, 1, 9.980172e-02, 3.997918e-01, 4.498248e-01
21,3.797993e-01, 2, 2, 1, 0, 0, 0, 1, 9.989167e-02, 3.998625e-01, 4.498960e-01
21,3.485687e-01, 1, 1, 1, 0, 1, 0, 1, 9.992427e-02, 4.002286e-01, 4.502624e-01
21,2.957972e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.979266e-02, 3.998142e-01, 4.498788e-01
21,4.289913e-01, 2, 2, 1, 0, 0, 0, 1, 9.985575e-02, 3.998456e-01, 4.498785e-01
21,4.118893e-01, 2, 2, 1, 0, 0, 0, 1, 9.986360e-02, 4.001682e-01, 4.502018e-01
21,4.363053e-01, 1, 1, 1, 0, 0, 0, 1, 9.988804e-02, 3.998818e-01, 4.498580e-01
21,3.480909e-01, 1, 1, 1, 0, 1, 0, 1, 9.996320e-02, 3.999597e-01, 4.500044e-01
21,3.585759e-01, 1, 1, 1, 0, 1, 0, 1, 9.993362e-02, 4.002126e-01, 4.502464e-01
21,4.171209e-01, 1, 1, 1, 0, 0, 0, 1, 9.982586e-02, 3.998308e-01, 4.498667e-01
21,3.294323e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.988895e-02, 3.998782e-01, 4.498673e-01
21,5.244835e-01, 1, 1, 1, 0, 0, 0, 1, 9.986178e-02, 4.001737e-01, 4.502072e-01
21,3.202782e-01, 1, 1, 1, 0, 1, 0, 1, 9.991974e-02, 3.998800e-01, 4.499159e-01
21,3.163007e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.989016e-02, 4.001595e-01, 4.502117e-01
21,4.326439e-01, 2, 2, 1, 0, 1, 0, 1, 9.984398e-02, 3.998930e-01, 4.499048e-01
21,4.484073e-01, 1, 1, 1, 0, 0, 0, 1, 9.989227e-02, 3.998806e-01, 4.499319e-01
21,3.509093e-01, 2, 2, 1, 0, 1, 0, 1, 9.986601e-02, 4.001184e-01, 4.501320e-01
21,3.455279e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.991883e-02, 3.999277e-01, 4.499401e-01
21,4.364988e-01, 2, 2, 1, 0, 0, 0, 1, 9.991551e-02, 3.999250e-01, 4.499386e-01
21,3.636369e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.991763e-02, 4.002395e-01, 4.502317e-01
21,4.378197e-01, 1, 1, 1, 0, 0, 0, 1, 9.992427e-02, 3.999292e-01, 4.499440e-01
21,3.568264e-01, 1, 1, 1, 0, 1, 0, 1, 9.990797e-02, 4.002389e-01, 4.502437e-01
21,5.351994e-01, 2, 2, 1, 0, 1, 0, 1, 9.988080e-02, 3.999310e-01, 4.499413e-01
21,2.910274e-01, 2, 2, 1, 0, 1, 0, 1, 9.990585e-02, 3.999141e-01, 4.499280e-01
21,3.998561e-01, 1, 1, 1, 0, 0, 0, 1, 9.991099e-02, 4.002392e-01, 4.502513e-01
21,3.925623e-01, 2, 2, 1, 0, 0, 0, 1, 9.992064e-02, 3.999277e-01, 4.499467e-01
21,3.464287e-01, 1, 1, 1, 0, 0, 0, 1, 9.992246e-02, 3.999120e-01, 4.499555e-01
21,3.087814e-01, 2, 2, 1, 0, 1, 0, 1, 9.991521e-02, 4.002304e-01, 4.502646e-01
21,3.773852e-01, 1, 1, 1, 0, 1, 0, 1, 9.991702e-02, 3.999286e-01, 4.499449e-01
21,3.317978e-01, 2, 2, 1, 0, 1, 0, 1, 9.989952e-02, 3.999065e-01, 4.499211e-01
21,3.264995e-01, 1, 1, 1, 0, 0, 0, 1, 9.991914e-02, 4.002274e-01, 4.502431e-01
21,3.863735e-01, 2, 2, 1, 0, 1, 0, 1, 9.992668e-02, 3.999388e-01, 4.499313e-01
21,3.318410e-01, 1, 1, 1, 0, 0, 0, 1, 9.991672e-02, 3.999238e-01, 4.499401e-01
21,3.111093e-01, 1, 1, 1, 0, 1, 0, 1, 9.991974e-02, 4.002467e-01, 4.502576e-01
21,3.315998e-01, 1, 1, 1, 0, 1, 0, 1, 9.985695e-02, 3.999105e-01, 4.499449e-01
21,5.197720e-01, 1, 1, 1, 0, 0, 0, 1, 9.992487e-02, 3.999250e-01, 4.499343e-01
21,3.389486e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.991642e-02, 4.002413e-01, 4.502564e-01
21,3.504456e-01, 1, 1, 1, 0, 1, 0, 1, 9.991310e-02, 3.999213e-01, 4.499277e-01
21,3.771548e-01, 1, 1, 1, 0, 1, 0, 1, 9.992487e-02, 3.999642e-01, 4.499099e-01
21,3.630640e-01, 1, 1, 1, 0, 0, 0, 1, 9.993423e-02, 4.002353e-01, 4.502676e-01
21,2.691474e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.989559e-02, 3.998703e-01, 4.498978e-01
21,3.636065e-01, 1, 1, 1, 0, 1, 0, 1, 9.985575e-02, 3.998643e-01, 4.498770e-01
21,3.416981e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.986541e-02, 4.001692e-01, 4.502042e-01
21,4.403736e-01, 2, 2, 1, 0, 0, 0, 1, 9.986752e-02, 3.998921e-01, 4.499304e-01
21,4.798126e-01, 2, 2, 1, 0, 1, 0, 1, 9.986269e-02, 3.998450e-01, 4.498773e-01
21,3.492935e-01, 1, 1, 1, 0, 0, 0, 1, 1.001817e-01, 4.001749e-01, 4.502072e-01
21,3.201441e-01, 1, 1, 1, 0, 1, 0, 1, 9.986148e-02, 3.998516e-01, 4.498869e-01
21,4.199558e-01, 2, 2, 1, 0, 0, 0, 1, 9.991612e-02, 3.998851e-01, 4.499171e-01
21,3.393654e-01, 2, 2, 1, 0, 1, 0, 1, 1.001491e-01, 4.001670e-01, 4.502000e-01
21,3.586027e-01, 1, 1, 1, 0, 0, 0, 1, 9.987537e-02, 3.998359e-01, 4.498821e-01
21,3.857496e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.994208e-02, 3.999123e-01, 4.498954e-01
21,3.946194e-01, 2, 2, 1, 0, 1, 0, 1, 1.002907e-01, 4.002353e-01, 4.502446e-01
21,3.559951e-01, 2, 2, 1, 0, 1, 0, 1, 9.990374e-02, 3.999114e-01, 4.499241e-01
21,4.139071e-01, 2, 2, 1, 0, 0, 0, 1, 9.991310e-02, 4.002431e-01, 4.502537e-01
21,3.901457e-01, 1, 1, 1, 0, 1, 0, 1, 9.992336e-02, 3.999280e-01, 4.499416e-01
21,4.587552e-01, 2, 2, 1, 1, 1, 1, -1.500000e+00, 9.820525e-02, 3.981755e-01, 4.482075e-01
21,2.496729e-01, 2, 2, 1, 0, 1, 1, 1, 9.988986e-02, 4.001764e-01, 4.501876e-01
21,2.882178e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.991491e-02, 3.999289e-01, 4.499642e-01
21,4.779053e-01, 2, 2, 1, 1, 0, 1, -1.500000e+00, 9.989257e-02, 3.998818e-01, 4.499138e-01
21,3.394705e-01, 1, 1, 1, 0, 0, 1, 1, 9.991129e-02, 4.001586e-01, 4.502126e-01
21,3.104431e-01, 1, 1, 1, 0, 0, 1, 1, 9.990767e-02, 3.999014e-01, 4.499298e-01
21,4.189069e-01, 2, 2, 1, 1, 0, 1, -1.500000e+00, 9.988171e-02, 3.998863e-01, 4.499159e-01
21,3.230026e-01, 1, 1, 1, 0, 1, 1, 1, 9.990525e-02, 4.001969e-01, 4.502283e-01
21,3.348217e-01, 1, 1, 1, 0, 0, 1, 1, 9.979659e-02, 3.998257e-01, 4.498574e-01
21,3.470049e-01, 1, 1, 1, 0, 0, 1, 1, 9.986631e-02, 3.998767e-01, 4.499035e-01
21,3.089692e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.990887e-02, 4.002054e-01, 4.502144e-01
21,3.937751e-01, 1, 1, 1, 0, 0, 1, 1, 9.989287e-02, 3.998800e-01, 4.499114e-01
21,3.385323e-01, 2, 2, 1, 0, 1, 1, 1, 9.989016e-02, 3.998344e-01, 4.498664e-01
21,3.267993e-01, 1, 1, 1, 0, 0, 1, 1, 9.990495e-02, 3.999117e-01, 4.498957e-01
21,4.015803e-01, 2, 1, 0, 0, 0, 1, -1.500000e+00, 9.989318e-02, 4.002012e-01, 4.502326e-01
21,3.706087e-01, 2, 2, 1, 0, 1, 1, 1, 9.989801e-02, 3.998869e-01, 4.499256e-01
21,3.488075e-01, 1, 1, 1, 0, 0, 1, 1, 9.990223e-02, 3.998727e-01, 4.498559e-01
21,3.352908e-01, 2, 2, 1, 0, 1, 1, 1, 1.001700e-01, 4.001999e-01, 4.502483e-01
21,4.027871e-01, 1, 1, 1, 0, 0, 1, 1, 9.991249e-02, 3.999189e-01, 4.499334e-01
21,3.317692e-01, 2, 2, 1, 0, 1, 1, 1, 9.988261e-02, 4.001969e-01, 4.501945e-01
21,3.434407e-01, 1, 1, 1, 0, 0, 1, 1, 9.988472e-02, 3.998960e-01, 4.498894e-01
21,3.301549e-01, 2, 2, 1, 0, 1, 1, 1, 9.986842e-02, 3.998827e-01, 4.499141e-01
21,3.019352e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.992336e-02, 3.999126e-01, 4.499449e-01
21,3.626777e-01, 1, 1, 1, 0, 1, 1, 1, 9.990917e-02, 4.002398e-01, 4.502498e-01
21,2.606529e-01, 1, 1, 1, 0, 1, 1, 1, 9.991008e-02, 3.999235e-01, 4.499268e-01
21,3.474963e-01, 2, 2, 1, 0, 1, 1, 1, 9.991370e-02, 3.999231e-01, 4.499389e-01
21,3.822180e-01, 2, 2, 1, 0, 0, 1, 1, 9.991702e-02, 4.002878e-01, 4.502857e-01
21,3.838592e-01, 2, 2, 1, 0, 0, 1, 1, 9.988714e-02, 3.998848e-01, 4.499120e-01
21,3.613918e-01, 1, 1, 1, 0, 1, 1, 1, 9.988986e-02, 3.998966e-01, 4.499057e-01
21,2.990327e-01, 1, 1, 1, 0, 1, 1, 1, 9.989559e-02, 4.001701e-01, 4.502081e-01
21,2.958720e-01, 1, 1, 1, 0, 1, 1, 1, 9.990767e-02, 3.998649e-01, 4.499093e-01
21,3.175591e-01, 1, 1, 1, 0, 1, 1, 1, 9.987446e-02, 3.998459e-01, 4.498779e-01
21,2.894258e-01, 1, 1, 1, 0, 0, 1, 1, 9.988050e-02, 4.001516e-01, 4.501610e-01
21,3.905707e-01, 2, 2, 1, 0, 1, 1, 1, 9.988110e-02, 3.998489e-01, 4.498812e-01
21,2.873210e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.989499e-02, 3.998794e-01, 4.499111e-01
21,3.169189e-01, 1, 1, 1, 0, 1, 1, 1, 9.990676e-02, 3.998782e-01, 4.499111e-01
21,2.968310e-01, 1, 1, 1, 0, 1, 1, 1, 9.988472e-02, 4.001885e-01, 4.502235e-01
21,2.856726e-01, 1, 1, 1, 0, 0, 1, 1, 9.988654e-02, 3.998752e-01, 4.498978e-01
21,3.153421e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.993483e-02, 3.999065e-01, 4.499364e-01
21,3.994604e-01, 2, 2, 1, 0, 1, 1, 1, 9.988835e-02, 4.001574e-01, 4.501846e-01
21,3.279146e-01, 1, 1, 1, 0, 1, 1, 1, 9.984579e-02, 3.998516e-01, 4.498891e-01
21,3.805213e-01, 2, 2, 1, 0, 0, 1, 1, 9.986058e-02, 3.998546e-01, 4.498794e-01
21,5.173585e-01, 2, 2, 1, 1, 0, 1, -1.500000e+00, 9.990465e-02, 4.001498e-01, 4.501643e-01
21,3.136614e-01, 2, 2, 1, 0, 1, 1, 1, 9.989740e-02, 3.999422e-01, 4.499235e-01
21,3.100474e-01, 1, 2, 0, 0, 0, 1, -1.500000e+00, 9.991099e-02, 3.999186e-01, 4.499316e-01
21,3.705236e-01, 1, 1, 1, 0, 1, 1, 1, 9.989921e-02, 4.002298e-01, 4.502365e-01
21,3.160734e-01, 1, 1, 1, 0, 1, 1, 1, 9.991732e-02, 3.999301e-01, 4.498993e-01
21,3.204427e-01, 1, 1, 1, 0, 0, 1, 1, 9.990314e-02, 3.999108e-01, 4.499256e-01
21,3.404799e-01, 1, 1, 1, 0, 0, 1, 1, 9.991914e-02, 4.002751e-01, 4.503195e-01
21,2.871795e-01, 2, 2, 1, 0, 1, 1, 1, 9.982677e-02, 3.998468e-01, 4.498812e-01
