Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
25,3.950777e+00, 0, 1, 0, 1, 1, 0, -1.500000e+00, 9.345662e-02, 3.934286e-01, 4.434379e-01
25,3.950276e+00, 0, 1, 0, 1, 1, 0, -1.500000e+00, 9.907367e-02, 3.990584e-01, 4.490766e-01
25,4.921054e-01, 2, 2, 1, 0, 0, 0, 1, 9.988291e-02, 3.998486e-01, 4.499336e-01
25,4.487458e-01, 2, 2, 1, 0, 0, 0, 1, 9.963268e-02, 3.996107e-01, 4.496085e-01
25,2.623964e-01, 1, 1, 1, 0, 0, 0, 1, 9.984699e-02, 3.998172e-01, 4.498219e-01
25,2.041109e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.985333e-02, 3.998235e-01, 4.498264e-01
25,3.722234e-01, 2, 2, 1, 0, 1, 0, 1, 9.979085e-02, 3.997611e-01, 4.497627e-01
25,3.329822e-01, 1, 1, 1, 0, 1, 0, 1, 9.987325e-02, 3.998450e-01, 4.498509e-01
25,3.278451e-01, 2, 2, 1, 0, 0, 0, 1, 9.987507e-02, 3.998528e-01, 4.498569e-01
25,2.423985e-01, 1, 1, 1, 0, 0, 0, 1, 9.988140e-02, 3.998537e-01, 4.498587e-01
25,4.973349e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.985726e-02, 3.998269e-01, 4.498421e-01
25,3.973831e-01, 2, 2, 1, 0, 1, 0, 1, 9.986782e-02, 3.998522e-01, 4.498587e-01
25,3.014936e-01, 1, 1, 1, 0, 0, 0, 1, 9.988382e-02, 3.998317e-01, 4.498291e-01
25,3.776744e-01, 1, 1, 1, 0, 0, 0, 1, 9.988201e-02, 3.998519e-01, 4.498587e-01
25,3.786216e-01, 2, 2, 1, 0, 0, 0, 1, 9.988261e-02, 3.998540e-01, 4.498786e-01
25,4.836582e-01, 2, 2, 1, 0, 0, 0, 1, 9.990314e-02, 3.998522e-01, 4.498563e-01
25,3.281587e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.987718e-02, 3.998462e-01, 4.498563e-01
25,3.150251e-01, 2, 2, 1, 0, 0, 0, 1, 9.986631e-02, 3.997882e-01, 4.498337e-01
25,5.102037e-01, 2, 2, 1, 0, 0, 0, 1, 9.988835e-02, 3.998800e-01, 4.498883e-01
25,3.379503e-01, 1, 1, 1, 0, 1, 0, 1, 9.984881e-02, 3.998235e-01, 4.498219e-01
25,3.006925e-01, 1, 1, 1, 0, 0, 0, 1, 9.990555e-02, 3.998465e-01, 4.498503e-01
25,3.290869e-01, 1, 1, 1, 0, 1, 0, 1, 9.987567e-02, 3.998779e-01, 4.498841e-01
25,3.715795e-01, 2, 2, 1, 0, 0, 0, 1, 9.987929e-02, 3.998444e-01, 4.498454e-01
25,6.531248e-01, 1, 1, 1, 0, 0, 0, 1, 9.988533e-02, 3.998480e-01, 4.498575e-01
25,3.868372e-01, 1, 1, 1, 0, 1, 0, 1, 9.988322e-02, 3.998492e-01, 4.498572e-01
25,3.238842e-01, 1, 1, 1, 0, 1, 0, 1, 9.988231e-02, 3.998755e-01, 4.498460e-01
25,3.109296e-01, 1, 1, 1, 0, 0, 0, 1, 9.987869e-02, 3.998513e-01, 4.498542e-01
25,2.105405e-01, 2, 2, 1, 0, 1, 0, 1, 9.987959e-02, 3.998459e-01, 4.498599e-01
25,1.940941e-01, 1, 1, 1, 0, 1, 0, 1, 9.989982e-02, 3.998724e-01, 4.498747e-01
25,1.862712e-01, 2, 2, 1, 0, 0, 0, 1, 9.992427e-02, 3.998969e-01, 4.499031e-01
25,4.189702e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.988171e-02, 3.998477e-01, 4.498548e-01
25,2.185536e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.988473e-02, 3.998519e-01, 4.498518e-01
25,4.179473e-01, 2, 2, 1, 0, 0, 0, 1, 9.988020e-02, 3.998441e-01, 4.498506e-01
25,2.088496e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.986390e-02, 3.998417e-01, 4.498376e-01
