Subject, RT, Choice, Correct, Accuracy, Slow, Congruent, Block, Points, FixTime, GapTime, StimTime
22,3.950615e+00, 0, 1, 0, 1, 1, 0, -1.500000e+00, 1.019771e-01, 4.020020e-01, 4.520343e-01
22,2.685321e+00, 2, 1, 0, 1, 0, 0, -1.500000e+00, 9.899789e-02, 3.989415e-01, 4.489512e-01
22,2.663419e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.955601e-02, 3.995286e-01, 4.495513e-01
22,1.528767e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.979628e-02, 3.997200e-01, 4.497578e-01
22,1.331153e-04, 2, 2, 1, 0, 1, 0, 1, 9.983281e-02, 3.998513e-01, 4.498468e-01
22,1.407239e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.976308e-02, 3.997514e-01, 4.497762e-01
22,1.039108e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.984096e-02, 3.998839e-01, 4.498885e-01
22,1.481959e-01, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.988593e-02, 4.002132e-01, 4.502495e-01
22,3.147708e-02, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.988472e-02, 3.998872e-01, 4.499035e-01
22,3.950407e+00, 0, 1, 0, 1, 1, 0, -1.500000e+00, 9.986450e-02, 3.995310e-01, 4.495425e-01
22,3.950126e+00, 0, 2, 0, 1, 0, 0, -1.500000e+00, 9.984760e-02, 3.998767e-01, 4.499180e-01
22,1.719206e-01, 2, 2, 1, 0, 1, 0, 1, 9.990374e-02, 3.998918e-01, 4.499238e-01
22,9.335785e-02, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.986631e-02, 3.997952e-01, 4.498625e-01
22,1.387465e-01, 2, 2, 1, 0, 1, 0, 1, 9.985152e-02, 3.998646e-01, 4.498957e-01
22,1.343087e-01, 2, 2, 1, 0, 0, 0, 1, 9.987295e-02, 3.998257e-01, 4.498894e-01
22,1.377655e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.952583e-02, 3.994471e-01, 4.495178e-01
22,1.493290e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.992095e-02, 3.998878e-01, 4.499054e-01
22,1.599665e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.985967e-02, 3.997982e-01, 4.498151e-01
22,5.082285e-02, 2, 2, 1, 0, 1, 0, 1, 9.988835e-02, 3.998785e-01, 4.498800e-01
22,2.736125e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.986691e-02, 3.998682e-01, 4.498715e-01
22,2.468859e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.986148e-02, 4.001432e-01, 4.501764e-01
22,1.257426e-01, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.987325e-02, 3.998338e-01, 4.498652e-01
22,3.950174e+00, 0, 1, 0, 1, 0, 0, -1.500000e+00, 9.980413e-02, 3.997906e-01, 4.498067e-01
22,3.950358e+00, 0, 1, 0, 1, 0, 0, -1.500000e+00, 9.988654e-02, 3.998278e-01, 4.498842e-01
22,1.747519e-01, 2, 1, 0, 0, 1, 0, -1.500000e+00, 9.982767e-02, 3.998380e-01, 4.498531e-01
22,3.256569e+00, 2, 2, 1, 1, 1, 0, -1.500000e+00, 9.985484e-02, 3.998235e-01, 4.498589e-01
22,1.428136e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.984186e-02, 3.997964e-01, 4.498411e-01
22,1.020067e-02, 2, 1, 0, 0, 0, 0, -1.500000e+00, 9.989559e-02, 3.998691e-01, 4.498948e-01
22,6.687848e-02, 1, 1, 1, 0, 1, 0, 1, 9.990133e-02, 3.998830e-01, 4.498945e-01
22,1.053156e-01, 1, 2, 0, 0, 0, 0, -1.500000e+00, 9.988955e-02, 3.998664e-01, 4.498863e-01
22,1.337191e-04, 1, 2, 0, 0, 1, 0, -1.500000e+00, 9.988352e-02, 3.999286e-01, 4.499304e-01
